year,state,cancer_death_count
1995,AL,9414.0
1995,AK,574.0
1995,AZ,8020.0
1995,AR,6079.0
1995,CA,51423.0
1995,CO,5467.0
1995,CT,7060.0
1995,DE,1630.0
1995,,1481.0
1995,FL,37321.0
1995,GA,12765.0
1995,HI,1856.0
1995,ID,2006.0
1995,IL,25100.0
1995,IN,12554.0
1995,IA,6226.0
1995,KS,5283.0
1995,KY,8847.0
1995,LA,9304.0
1995,ME,3015.0
1995,MD,10181.0
1995,MA,14083.0
1995,MI,19430.0
1995,MN,8693.0
1995,MS,5748.0
1995,MO,12282.0
1995,MT,1770.0
1995,NE,3375.0
1995,NV,2976.0
1995,NH,2356.0
1995,NJ,18427.0
1995,NM,2689.0
1995,NY,38684.0
1995,NC,14879.0
1995,ND,1375.0
1995,OH,25208.0
1995,OK,7142.0
1995,OR,6744.0
1995,PA,30267.0
1995,RI,2478.0
1995,SC,7416.0
1995,SD,1564.0
1995,TN,11611.0
1995,TX,31622.0
1995,UT,2119.0
1995,VT,1163.0
1995,VA,12600.0
1995,WA,9938.0
1995,WV,4743.0
1995,WI,10571.0
1995,WY,896.0
1996,AL,9502.0
1996,AK,646.0
1996,AZ,8319.0
1996,AR,5962.0
1996,CA,51055.0
1996,CO,5655.0
1996,CT,7146.0
1996,DE,1688.0
1996,,1380.0
1996,FL,37694.0
1996,GA,12432.0
1996,HI,1861.0
1996,ID,1987.0
1996,IL,24783.0
1996,IN,12487.0
1996,IA,6493.0
1996,KS,5344.0
1996,KY,9025.0
1996,LA,9314.0
1996,ME,2952.0
1996,MD,10161.0
1996,MA,13952.0
1996,MI,19585.0
1996,MN,8846.0
1996,MS,5757.0
1996,MO,11960.0
1996,MT,1768.0
1996,NE,3326.0
1996,NV,3192.0
1996,NH,2387.0
1996,NJ,18315.0
1996,NM,2740.0
1996,NY,38149.0
1996,NC,15192.0
1996,ND,1392.0
1996,OH,25326.0
1996,OK,7128.0
1996,OR,6711.0
1996,PA,30511.0
1996,RI,2516.0
1996,SC,7619.0
1996,SD,1541.0
1996,TN,11617.0
1996,TX,32007.0
1996,UT,2105.0
1996,VT,1207.0
1996,VA,12710.0
1996,WA,10063.0
1996,WV,4673.0
1996,WI,10483.0
1996,WY,869.0
1997,AL,9577.0
1997,AK,622.0
1997,AZ,8448.0
1997,AR,6063.0
1997,CA,51990.0
1997,CO,5647.0
1997,CT,7137.0
1997,DE,1669.0
1997,,1348.0
1997,FL,38100.0
1997,GA,13025.0
1997,HI,1846.0
1997,ID,1947.0
1997,IL,24479.0
1997,IN,12332.0
1997,IA,6331.0
