cases,year,state
85,1927,WI
120,1927,WI
84,1927,WI
106,1927,WI
39,1927,WI
45,1928,WI
28,1928,WI
140,1928,WI
48,1928,WI
85,1928,WI
95,1928,WI
47,1928,WI
80,1928,WI
89,1928,WI
120,1928,WI
134,1928,WI
106,1928,WI
149,1928,WI
127,1928,WI
101,1928,WI
125,1928,WI
49,1928,WI
82,1928,WI
71,1928,WI
86,1928,WI
61,1928,WI
57,1928,WI
116,1928,WI
48,1928,WI
64,1928,WI
41,1928,WI
32,1928,WI
24,1928,WI
23,1928,WI
18,1928,WI
18,1928,WI
19,1928,WI
17,1928,WI
19,1928,WI
4,1928,WI
19,1928,WI
12,1928,WI
21,1928,WI
27,1928,WI
12,1928,WI
27,1928,WI
50,1928,WI
90,1928,WI
81,1928,WI
69,1928,WI
73,1928,WI
61,1928,WI
147,1928,WI
118,1928,WI
160,1928,WI
162,1928,WI
149,1928,WI
139,1929,WI
191,1929,WI
154,1929,WI
217,1929,WI
392,1929,WI
461,1929,WI
460,1929,WI
621,1929,WI
930,1929,WI
850,1929,WI
563,1929,WI
1142,1929,WI
863,1929,WI
914,1929,WI
1293,1929,WI
1229,1929,WI
1314,1929,WI
1535,1929,WI
1491,1929,WI
1657,1929,WI
1423,1929,WI
1372,1929,WI
1203,1929,WI
1334,1929,WI
914,1929,WI
761,1929,WI
676,1929,WI
482,1929,WI
333,1929,WI
275,1929,WI
184,1929,WI
117,1929,WI
57,1929,WI
39,1929,WI
29,1929,WI
24,1929,WI
34,1929,WI
34,1929,WI
43,1929,WI
89,1929,WI
78,1929,WI
194,1929,WI
182,1929,WI
163,1929,WI
194,1929,WI
308,1929,WI
458,1929,WI
508,1929,WI
253,1929,WI
574,1929,WI
589,1929,WI
485,1929,WI
493,1930,WI
566,1930,WI
679,1930,WI
815,1930,WI
878,1930,WI
1058,1930,WI
1184,1930,WI
951,1930,WI
1202,1930,WI
979,1930,WI
947,1930,WI
835,1930,WI
787,1930,WI
656,1930,WI
899,1930,WI
674,1930,WI
159,1930,WI
697,1930,WI
569,1930,WI
900,1930,WI
598,1930,WI
798,1930,WI
644,1930,WI
448,1930,WI
326,1930,WI
429,1930,WI
308,1930,WI
54,1930,WI
213,1930,WI
112,1930,WI
88,1930,WI
79,1930,WI
66,1930,WI
45,1930,WI
44,1930,WI
14,1930,WI
27,1930,WI
18,1930,WI
21,1930,WI
36,1930,WI
67,1930,WI
40,1930,WI
77,1930,WI
320,1930,WI
41,1930,WI
112,1930,WI
182,1930,WI
205,1930,WI
148,1930,WI
206,1930,WI
197,1930,WI
191,1930,WI
158,1931,WI
213,1931,WI
229,1931,WI
172,1931,WI
335,1931,WI
295,1931,WI
363,1931,WI
260,1931,WI
381,1931,WI
337,1931,WI
449,1931,WI
314,1931,WI
660,1931,WI
571,1931,WI
682,1931,WI
790,1931,WI
729,1931,WI
677,1931,WI
620,1931,WI
732,1931,WI
702,1931,WI
781,1931,WI
788,1931,WI
1062,1931,WI
699,1931,WI
442,1931,WI
499,1931,WI
318,1931,WI
216,1931,WI
130,1931,WI
83,1931,WI
86,1931,WI
40,1931,WI
32,1931,WI
18,1931,WI
17,1931,WI
27,1931,WI
14,1931,WI
8,1931,WI
16,1931,WI
12,1931,WI
11,1931,WI
5,1931,WI
17,1931,WI
14,1931,WI
21,1931,WI
22,1931,WI
16,1931,WI
42,1931,WI
57,1931,WI
39,1931,WI
24,1931,WI
79,1932,WI
48,1932,WI
264,1932,WI
89,1932,WI
181,1932,WI
133,1932,WI
199,1932,WI
274,1932,WI
318,1932,WI
405,1932,WI
418,1932,WI
574,1932,WI
570,1932,WI
1159,1932,WI
1007,1932,WI
1672,1932,WI
1055,1932,WI
2320,1932,WI
2310,1932,WI
2629,1932,WI
2397,1932,WI
1617,1932,WI
1570,1932,WI
1484,1932,WI
934,1932,WI
877,1932,WI
630,1932,WI
363,1932,WI
273,1932,WI
176,1932,WI
101,1932,WI
45,1932,WI
35,1932,WI
21,1932,WI
27,1932,WI
29,1932,WI
10,1932,WI
6,1932,WI
16,1932,WI
49,1932,WI
39,1932,WI
54,1932,WI
27,1932,WI
123,1932,WI
87,1932,WI
136,1932,WI
115,1932,WI
148,1932,WI
180,1932,WI
215,1932,WI
222,1932,WI
409,1932,WI
215,1932,WI
193,1933,WI
158,1933,WI
227,1933,WI
164,1933,WI
244,1933,WI
316,1933,WI
286,1933,WI
393,1933,WI
106,1933,WI
412,1933,WI
494,1933,WI
390,1933,WI
387,1933,WI
466,1933,WI
462,1933,WI
425,1933,WI
429,1933,WI
416,1933,WI
458,1933,WI
355,1933,WI
332,1933,WI
330,1933,WI
153,1933,WI
220,1933,WI
182,1933,WI
140,1933,WI
127,1933,WI
79,1933,WI
55,1933,WI
38,1933,WI
42,1933,WI
38,1933,WI
32,1933,WI
12,1933,WI
11,1933,WI
31,1933,WI
12,1933,WI
14,1933,WI
33,1933,WI
16,1933,WI
25,1933,WI
19,1933,WI
51,1933,WI
17,1933,WI
38,1933,WI
67,1933,WI
56,1933,WI
81,1933,WI
135,1933,WI
161,1933,WI
155,1933,WI
168,1933,WI
163,1934,WI
157,1934,WI
229,1934,WI
299,1934,WI
808,1934,WI
865,1934,WI
1164,1934,WI
1024,1934,WI
