coverage_estimate,year,state
91.6,2023,KS
90.1,2023,KY
92.2,2023,LA
96.8,2023,ME
96.7,2023,MD
96.5,2023,MA
92.9,2023,MI
87.6,2023,MN
98.4,2023,MS
91.3,2023,MO
95.1,2023,NE
92.8,2023,NV
89.4,2023,NH
94.3,2023,NJ
94.9,2023,NM
97.9,2023,NY
97.3,2023,
94.0,2023,NC
92.0,2023,ND
89.3,2023,OH
89.6,2023,OK
91.9,2023,OR
94.0,2023,PA
96.9,2023,RI
93.2,2023,SC
92.5,2023,SD
95.4,2023,TN
94.2,2023,TX
90.0,2023,UT
93.1,2023,VT
95.8,2023,VA
91.4,2023,WA
95.6,2023,WV
86.5,2023,WI
90.8,2023,WY
91.9,2023,AR
96.5,2023,CA
87.0,2023,CO
97.3,2023,CT
95.1,2023,DE
90.6,2023,FL
88.1,2023,GA
86.4,2023,HI
81.3,2023,ID
91.7,2023,IL
92.0,2023,IN
89.9,2023,IA
93.9,2023,AL
83.6,2023,AK
89.9,2023,AZ
94.0,2010,AL
,2010,AK
95.0,2010,AZ
98.3,2010,AR
93.6,2010,CA
,2010,CO
98.5,2010,CT
89.7,2010,DE
,2010,
91.3,2010,FL
99.6,2010,GA
,2010,HI
87.0,2010,ID
94.5,2010,IL
92.8,2010,IN
84.5,2010,IA
90.9,2010,KS
92.2,2010,KY
96.9,2010,LA
95.5,2010,ME
98.9,2010,MD
93.0,2010,MA
95.3,2010,MI
95.1,2010,MN
99.7,2010,MS
97.3,2010,MO
95.5,2010,MT
97.5,2010,NE
94.5,2010,NV
,2010,NH
,2010,NJ
97.6,2010,NM
97.6,2010,NY
,2010,NC
92.2,2010,ND
88.6,2010,OH
97.3,2010,OK
94.4,2010,OR
86.9,2010,PA
92.1,2010,RI
87.2,2010,SC
96.8,2010,SD
97.4,2010,TN
98.1,2010,TX
97.7,2010,UT
91.8,2010,VT
92.1,2010,VA
91.7,2010,WA
91.2,2010,WV
94.2,2010,WI
,2010,WY
,2011,AL
,2011,AK
,2011,AZ
,2011,AR
,2011,CA
,2011,CO
,2011,CT
,2011,DE
,2011,
,2011,FL
,2011,GA
,2011,HI
,2011,ID
,2011,IL
,2011,IN
,2011,IA
,2011,KS
,2011,KY
,2011,LA
,2011,ME
,2011,MD
,2011,MA
,2011,MI
,2011,MN
,2011,MS
,2011,MO
,2011,MT
,2011,NE
,2011,NV
,2011,NH
,2011,NJ
,2011,NM
,2011,NY
,2011,NC
,2011,ND
,2011,OH
,2011,OK
,2011,OR
,2011,PA
,2011,RI
,2011,SC
,2011,SD
,2011,TN
,2011,TX
,2011,UT
,2011,VT
,2011,VA
,2011,WA
,2011,WV
,2011,WI
,2011,WY
93.6,2012,AL
,2012,AK
94.7,2012,AZ
94.9,2012,AR
93.2,2012,CA
86.8,2012,CO
97.4,2012,CT
96.9,2012,DE
,2012,
92.6,2012,FL
96.6,2012,GA
,2012,HI
89.2,2012,ID
97.3,2012,IL
93.3,2012,IN
91.1,2012,IA
88.2,2012,KS
92.0,2012,KY
98.1,2012,LA
93.0,2012,ME
98.7,2012,MD
94.2,2012,MA
95.0,2012,MI
95.7,2012,MN
99.2,2012,MS
96.8,2012,MO
95.0,2012,MT
99.0,2012,NE
95.3,2012,NV
,2012,NH
,2012,NJ
95.7,2012,NM
96.9,2012,NY
,2012,NC
90.6,2012,ND
96.1,2012,OH
95.0,2012,OK
94.0,2012,OR
86.9,2012,PA
91.7,2012,RI
94.5,2012,SC
97.4,2012,SD
97.3,2012,TN
99.3,2012,TX
98.0,2012,UT
92.9,2012,VT
93.0,2012,VA
91.8,2012,WA
92.0,2012,WV
93.1,2012,WI
,2012,WY
92.8,2013,AL
,2013,AK
94.5,2013,AZ
85.9,2013,AR
92.7,2013,CA
85.7,2013,CO
97.1,2013,CT
95.7,2013,DE
,2013,
92.1,2013,FL
95.1,2013,GA
,2013,HI
88.4,2013,ID
95.5,2013,IL
95.4,2013,IN
90.5,2013,IA
90.0,2013,KS
92.4,2013,KY
96.6,2013,LA
91.3,2013,ME
98.2,2013,MD
94.8,2013,MA
94.4,2013,MI
96.3,2013,MN
99.9,2013,MS
96.7,2013,MO
94.8,2013,MT
96.0,2013,NE
93.6,2013,NV
,2013,NH
97.0,2013,NJ
93.9,2013,NM
96.6,2013,NY
,2013,NC
89.9,2013,ND
96.3,2013,OH
90.5,2013,OK
93.5,2013,OR
87.0,2013,PA
94.2,2013,RI
90.9,2013,SC
97.9,2013,SD
94.5,2013,TN
97.5,2013,TX
96.3,2013,UT
92.8,2013,VT
93.1,2013,VA
91.7,2013,WA
96.3,2013,WV
92.8,2013,WI
97.5,2013,WY
92.0,2014,AL
94.4,2014,AK
93.9,2014,AZ
86.5,2014,AR
92.3,2014,CA
81.7,2014,CO
96.9,2014,CT
96.4,2014,DE
,2014,
93.2,2014,FL
94.0,2014,GA
,2014,HI
88.2,2014,ID
94.7,2014,IL
92.9,2014,IN
91.0,2014,IA
86.9,2014,KS
92.6,2014,KY
96.8,2014,LA
89.9,2014,ME
97.6,2014,MD
95.1,2014,MA
97.5,2014,MI
93.4,2014,MN
99.7,2014,MS
95.5,2014,MO
93.7,2014,MT
96.6,2014,NE
95.6,2014,NV
94.7,2014,NH
96.8,2014,NJ
95.9,2014,NM
96.8,2014,NY
,2014,NC
90.0,2014,ND
96.2,2014,OH
96.4,2014,OK
93.2,2014,OR
