year,state,measles_cases,mumps_cases
2003,AK,,1.0
2003,AL,,4.0
2003,AR,,1.0
2003,AZ,1.0,1.0
2003,CA,5.0,58.0
2003,CO,,1.0
2003,CT,,1.0
2003,DC,,
2003,DE,,2.0
2003,FL,,7.0
2003,GA,1.0,3.0
2003,HI,19.0,13.0
2003,IA,,2.0
2003,ID,,1.0
2003,IL,1.0,8.0
2003,IN,,3.0
2003,KS,,3.0
2003,KY,,
2003,LA,,1.0
2003,MA,,1.0
2003,MD,1.0,5.0
2003,ME,,
2003,MI,2.0,8.0
2003,MN,,1.0
2003,MO,,5.0
2003,MS,,1.0
2003,MT,,
2003,NC,1.0,2.0
2003,ND,,
2003,NE,,
2003,NH,1.0,2.0
2003,NJ,2.0,6.0
2003,NM,,1.0
2003,NV,,5.0
2003,NY,7.0,15.0
2003,OH,2.0,7.0
2003,OK,,2.0
2003,OR,3.0,
2003,PA,9.0,9.0
2003,RI,,
2003,SC,,5.0
2003,SD,,
2003,TN,,5.0
2003,TX,,18.0
2003,UT,,5.0
2003,VA,,1.0
2003,VT,,
2003,WA,,11.0
2003,WI,1.0,2.0
2003,WV,,3.0
2003,WY,,1.0
2004,AK,,2.0
2004,AL,,4.0
2004,AR,,
2004,AZ,,7.0
2004,CA,6.0,55.0
2004,CO,1.0,3.0
2004,CT,,
2004,DC,,
2004,DE,,
2004,FL,1.0,9.0
2004,GA,1.0,2.0
2004,HI,3.0,9.0
2004,IA,3.0,2.0
2004,ID,,3.0
2004,IL,1.0,10.0
2004,IN,,2.0
2004,KS,,10.0
2004,KY,,
2004,LA,,9.0
2004,MA,2.0,4.0
2004,MD,1.0,4.0
2004,ME,,
2004,MI,,2.0
2004,MN,,4.0
2004,MO,2.0,3.0
2004,MS,,
2004,MT,,
2004,NC,2.0,5.0
2004,ND,,1.0
2004,NE,,
2004,NH,,1.0
2004,NJ,2.0,8.0
2004,NM,,
2004,NV,,1.0
2004,NY,5.0,26.0
2004,OH,,11.0
2004,OK,,1.0
2004,OR,,
2004,PA,,13.0
2004,RI,,
2004,SC,,
2004,SD,,
2004,TN,,4.0
2004,TX,,23.0
2004,UT,,2.0
2004,VA,,11.0
2004,VT,,1.0
2004,WA,7.0,2.0
2004,WI,,1.0
2004,WV,,2.0
2004,WY,,1.0
2005,AK,,1.0
2005,AL,,6.0
2005,AR,,2.0
2005,AZ,1.0,1.0
2005,CA,4.0,47.0
2005,CO,,6.0
2005,CT,,1.0
2005,DC,,
2005,DE,1.0,
2005,FL,,8.0
2005,GA,,2.0
2005,HI,1.0,18.0
2005,IA,,6.0
2005,ID,,
2005,IL,2.0,10.0
2005,IN,33.0,1.0
2005,KS,,
2005,KY,,
2005,LA,,8.0
2005,MA,,7.0
2005,MD,,10.0
2005,ME,,2.0
2005,MI,1.0,24.0
2005,MN,,6.0
2005,MO,,4.0
2005,MS,,1.0
2005,MT,,1.0
2005,NC,,13.0
2005,ND,,3.0
2005,NE,,
2005,NH,1.0,1.0
2005,NJ,2.0,9.0
2005,NM,,
2005,NV,,3.0
2005,NY,7.0,47.0
2005,OH,3.0,8.0
2005,OK,,2.0
2005,OR,2.0,
2005,PA,,8.0
2005,RI,,
2005,SC,,1.0
2005,SD,,
2005,TN,1.0,3.0
2005,TX,3.0,25.0
2005,UT,,7.0
2005,VA,,2.0
2005,VT,,
2005,WA,2.0,3.0
2005,WI,2.0,5.0
2005,WV,,
2005,WY,,2.0
2006,AK,,3.0
2006,AL,,47.0
2006,AR,,8.0
2006,AZ,,40.0
2006,CA,6.0,31.0
2006,CO,1.0,51.0
2006,CT,,
2006,DC,,1.0
2006,DE,,
2006,FL,4.0,15.0
2006,GA,,6.0
2006,HI,,6.0
2006,IA,,
2006,ID,,7.0
2006,IL,,798.0
2006,IN,1.0,10.0
2006,KS,1.0,968.0
2006,KY,,1.0
2006,LA,,3.0
2006,MA,19.0,12.0
2006,MD,2.0,48.0
2006,ME,,
2006,MI,1.0,84.0
2006,MN,1.0,180.0
2006,MO,1.0,170.0
2006,MS,,2.0
2006,MT,,
2006,NC,,43.0
2006,ND,,14.0
2006,NE,,368.0
2006,NH,1.0,5.0
2006,NJ,1.0,12.0
2006,NM,,3.0
2006,NV,,5.0
2006,NY,10.0,70.0
2006,OH,,45.0
2006,OK,,10.0
2006,OR,2.0,19.0
2006,PA,2.0,117.0
2006,RI,,4.0
2006,SC,,10.0
2006,SD,,296.0
2006,TN,,11.0
2006,TX,,58.0
2006,UT,,5.0
2006,VA,,117.0
2006,VT,,
2006,WA,2.0,42.0
2006,WI,,842.0
2006,WV,,24.0
2006,WY,,9.0
2007,AK,,2.0
2007,AL,,14.0
2007,AR,,4.0
2007,AZ,,10.0
2007,CA,4.0,42.0
2007,CO,,17.0
2007,CT,,2.0
2007,DC,,1.0
2007,DE,,1.0
2007,FL,5.0,21.0
2007,GA,,
2007,HI,2.0,2.0
2007,IA,,27.0
2007,ID,,7.0
2007,IL,1.0,170.0
2007,IN,,3.0
2007,KS,,28.0
2007,KY,,
2007,LA,,1.0
2007,MA,1.0,14.0
2007,MD,,19.0
2007,ME,,24.0
2007,MI,3.0,28.0
2007,MN,1.0,28.0
2007,MO,,12.0
2007,MS,,2.0
2007,MT,,1.0
2007,NC,3.0,28.0
2007,ND,,3.0
2007,NE,,8.0
2007,NH,,2.0
2007,NJ,1.0,2.0
2007,NM,1.0,
2007,NV,,12.0
2007,NY,7.0,43.0
2007,OH,,20.0
2007,OK,,8.0
2007,OR,1.0,1.0
2007,PA,3.0,23.0
2007,RI,,1.0
2007,SC,,2.0
2007,SD,,6.0
2007,TN,,4.0
2007,TX,7.0,21.0
2007,UT,,1.0
2007,VA,,27.0
2007,VT,,
2007,WA,3.0,53.0
2007,WI,,51.0
2007,WV,,3.0
2007,WY,,1.0
2008,AK,,5.0
2008,AL,,5.0
2008,AR,2.0,5.0
2008,AZ,14.0,5.0
2008,CA,17.0,31.0
2008,CO,,8.0
2008,CT,,
2008,DC,1.0,2.0
2008,DE,,1.0
2008,FL,1.0,16.0
2008,GA,1.0,3.0
2008,HI,4.0,4.0
2008,IA,,24.0
2008,ID,,2.0
2008,IL,32.0,91.0
2008,IN,,2.0
2008,KS,,2.0
2008,KY,,
2008,LA,1.0,1.0
2008,MA,2.0,7.0
2008,MD,,11.0
2008,ME,,5.0
2008,MI,4.0,22.0
2008,MN,,9.0
2008,MO,1.0,8.0
2008,MS,,
2008,MT,,1.0
2008,NC,,6.0
2008,ND,,2.0
2008,NE,,4.0
2008,NH,,5.0
