state,year,n,n_vaccinated,coverage_pct
AK,2015,295.0,262.0,89.7
AK,2016,288.0,253.0,85.83
AK,2017,251.0,221.0,89.56
AK,2018,228.0,191.0,85.11
AK,2019,240.0,204.0,85.79
AK,2020,278.0,252.0,90.79
AK,2021,285.0,257.0,88.6
AK,2022,285.0,254.0,86.42
AK,2023,322.0,287.0,84.81
AK,2024,214.0,192.0,85.43
AL,2015,272.0,260.0,95.46
AL,2016,249.0,235.0,92.73
AL,2017,295.0,273.0,92.53
AL,2018,303.0,282.0,95.94
AL,2019,278.0,258.0,93.77
AL,2020,215.0,199.0,94.35
AL,2021,254.0,245.0,96.27
AL,2022,229.0,217.0,94.91
AL,2023,253.0,232.0,88.58
AL,2024,287.0,263.0,90.6
AR,2015,229.0,211.0,90.22
AR,2016,229.0,211.0,92.72
AR,2017,258.0,237.0,92.63
AR,2018,244.0,227.0,93.85
AR,2019,376.0,347.0,93.57
AR,2020,390.0,358.0,89.33
AR,2021,413.0,380.0,89.75
AR,2022,291.0,270.0,92.28
AR,2023,332.0,306.0,91.45
AR,2024,264.0,244.0,92.79
AZ,2015,266.0,243.0,91.7
AZ,2016,230.0,207.0,89.92
AZ,2017,265.0,244.0,93.59
AZ,2018,255.0,231.0,89.17
AZ,2019,260.0,245.0,95.17
AZ,2020,303.0,288.0,94.39
AZ,2021,234.0,218.0,92.09
AZ,2022,278.0,258.0,90.64
AZ,2023,251.0,228.0,91.64
AZ,2024,272.0,252.0,93.42
CA,2015,345.0,322.0,93.78
CA,2016,328.0,300.0,90.93
CA,2017,324.0,307.0,93.02
CA,2018,296.0,269.0,91.99
CA,2019,292.0,266.0,86.67
CA,2020,623.0,587.0,94.43
CA,2021,553.0,518.0,91.75
CA,2022,438.0,417.0,95.48
CA,2023,405.0,359.0,87.65
CA,2024,348.0,316.0,90.67
CO,2015,246.0,227.0,93.81
CO,2016,238.0,215.0,90.61
CO,2017,264.0,234.0,87.92
CO,2018,245.0,229.0,93.81
CO,2019,240.0,228.0,96.04
CO,2020,280.0,263.0,91.26
CO,2021,258.0,239.0,90.92
CO,2022,308.0,290.0,93.78
CO,2023,291.0,260.0,88.67
CO,2024,294.0,276.0,93.32
CT,2015,250.0,248.0,99.61
CT,2016,267.0,258.0,95.91
CT,2017,266.0,255.0,96.13
CT,2018,166.0,158.0,95.5
CT,2019,159.0,152.0,94.85
CT,2020,221.0,214.0,97.52
CT,2021,409.0,396.0,95.6
CT,2022,233.0,223.0,97.53
CT,2023,257.0,253.0,98.32
CT,2024,225.0,217.0,97.18
DC,2015,321.0,306.0,94.2
DC,2016,309.0,293.0,94.08
DC,2017,269.0,258.0,94.12
DC,2018,312.0,293.0,92.11
DC,2019,285.0,263.0,90.27
DC,2020,341.0,324.0,95.22
DC,2021,334.0,303.0,89.18
DC,2022,328.0,300.0,89.43
DC,2023,270.0,238.0,91.29
DC,2024,358.0,318.0,88.9
DE,2015,232.0,226.0,97.18
DE,2016,222.0,207.0,93.81
DE,2017,232.0,217.0,93.2
DE,2018,247.0,229.0,92.09
DE,2019,249.0,237.0,95.64
DE,2020,310.0,285.0,92.03
DE,2021,192.0,179.0,94.71
DE,2022,194.0,184.0,94.4
DE,2023,182.0,165.0,90.62
DE,2024,189.0,180.0,97.22
FL,2015,273.0,255.0,91.94
FL,2016,273.0,246.0,92.49
FL,2017,314.0,284.0,93.43
FL,2018,306.0,279.0,91.39
FL,2019,390.0,361.0,93.67
FL,2020,335.0,316.0,95.22
FL,2021,291.0,265.0,89.67
FL,2022,374.0,353.0,94.49
FL,2023,450.0,418.0,93.04
FL,2024,359.0,338.0,94.88
GA,2015,286.0,266.0,90.95
GA,2016,274.0,257.0,94.41
GA,2017,299.0,277.0,91.98
GA,2018,324.0,308.0,93.83
GA,2019,301.0,283.0,94.98
GA,2020,290.0,265.0,89.42
GA,2021,266.0,248.0,90.69
GA,2022,304.0,284.0,93.42
GA,2023,404.0,361.0,87.05
GA,2024,314.0,291.0,92.92
HI,2015,261.0,247.0,95.44
HI,2016,266.0,240.0,91.81
HI,2017,236.0,212.0,90.51
HI,2018,230.0,203.0,88.47
HI,2019,210.0,189.0,88.75
HI,2020,263.0,236.0,88.91
HI,2021,271.0,240.0,90.1
HI,2022,220.0,195.0,91.97
HI,2023,218.0,194.0,89.52
HI,2024,232.0,207.0,90.71
IA,2015,279.0,264.0,95.68
IA,2016,298.0,286.0,96.19
IA,2017,226.0,208.0,91.87
IA,2018,207.0,192.0,90.69
IA,2019,203.0,193.0,96.33
IA,2020,271.0,262.0,97.77
IA,2021,228.0,222.0,96.49
IA,2022,271.0,257.0,93.35
IA,2023,301.0,289.0,95.04
IA,2024,262.0,253.0,97.55
ID,2015,209.0,189.0,91.83
ID,2016,225.0,201.0,88.98
ID,2017,198.0,182.0,92.25
ID,2018,202.0,188.0,93.97
ID,2019,190.0,168.0,91.39
ID,2020,677.0,645.0,93.25
ID,2021,364.0,344.0,92.92
ID,2022,278.0,257.0,91.41
ID,2023,274.0,249.0,88.27
ID,2024,252.0,231.0,92.6
IL,2015,559.0,516.0,92.31
IL,2016,494.0,475.0,96.25
IL,2017,473.0,441.0,92.67
IL,2018,474.0,447.0,94.15
IL,2019,456.0,432.0,95.35
IL,2020,581.0,543.0,92.35
IL,2021,530.0,492.0,91.49
IL,2022,604.0,564.0,92.61
IL,2023,543.0,515.0,93.82
IL,2024,494.0,465.0,94.0
IN,2015,231.0,218.0,94.52
IN,2016,239.0,222.0,93.48
IN,2017,256.0,223.0,87.81
IN,2018,279.0,251.0,87.36
IN,2019,280.0,257.0,93.11
IN,2020,312.0,285.0,90.34
IN,2021,216.0,197.0,90.51
IN,2022,224.0,208.0,93.14
IN,2023,223.0,211.0,94.41
IN,2024,216.0,193.0,90.86
KS,2015,228.0,214.0,94.57
KS,2016,207.0,190.0,92.29
KS,2017,192.0,173.0,89.79
KS,2018,193.0,173.0,89.38
KS,2019,398.0,376.0,93.09
KS,2020,395.0,365.0,92.41
KS,2021,348.0,327.0,90.89
KS,2022,382.0,357.0,91.5
KS,2023,410.0,384.0,93.28
KS,2024,336.0,307.0,90.4
KY,2015,241.0,222.0,92.62
KY,2016,243.0,227.0,93.91
KY,2017,229.0,217.0,94.59
KY,2018,175.0,165.0,94.96
KY,2019,182.0,166.0,88.43
KY,2020,318.0,299.0,92.05
KY,2021,242.0,226.0,93.32
KY,2022,310.0,291.0,93.51
KY,2023,363.0,333.0,87.74
KY,2024,291.0,267.0,91.13
LA,2015,223.0,208.0,93.11
LA,2016,244.0,220.0,91.38
LA,2017,282.0,262.0,91.56
LA,2018,235.0,217.0,94.02
LA,2019,355.0,335.0,94.87
LA,2020,423.0,392.0,91.64
LA,2021,380.0,358.0,91.66
LA,2022,430.0,409.0,94.97
LA,2023,456.0,414.0,91.73
LA,2024,384.0,357.0,90.17
MA,2015,307.0,289.0,93.8
MA,2016,312.0,307.0,98.75
MA,2017,271.0,265.0,98.3
MA,2018,282.0,269.0,95.45
MA,2019,270.0,261.0,96.75
MA,2020,387.0,373.0,97.03
MA,2021,335.0,326.0,97.04
MA,2022,265.0,255.0,97.4
MA,2023,271.0,263.0,98.06
MA,2024,269.0,260.0,96.28
MD,2015,361.0,349.0,96.67
MD,2016,372.0,349.0,94.39
MD,2017,361.0,345.0,92.49
MD,2018,367.0,348.0,93.38
MD,2019,700.0,668.0,95.97
MD,2020,871.0,844.0,94.97
MD,2021,730.0,699.0,96.11
MD,2022,481.0,458.0,94.2
MD,2023,558.0,541.0,96.84
MD,2024,407.0,389.0,94.62
ME,2015,221.0,212.0,96.48
ME,2016,260.0,239.0,92.52
ME,2017,271.0,251.0,94.05
ME,2018,263.0,249.0,93.58
ME,2019,238.0,216.0,94.39
ME,2020,283.0,262.0,92.63
ME,2021,235.0,226.0,95.85
ME,2022,221.0,214.0,97.55
ME,2023,230.0,215.0,93.08
ME,2024,222.0,211.0,95.07
MI,2015,254.0,235.0,91.72
MI,2016,230.0,205.0,88.14
MI,2017,237.0,220.0,92.86
MI,2018,294.0,268.0,92.34
MI,2019,324.0,306.0,93.22
MI,2020,444.0,423.0,95.96
MI,2021,343.0,325.0,95.06
MI,2022,457.0,443.0,96.93
MI,2023,494.0,465.0,91.72
MI,2024,399.0,374.0,92.25
MN,2015,289.0,270.0,92.85
MN,2016,279.0,265.0,92.59
MN,2017,249.0,235.0,94.64
MN,2018,217.0,203.0,91.92
MN,2019,190.0,182.0,95.55
MN,2020,408.0,382.0,93.17
MN,2021,260.0,249.0,93.52
MN,2022,266.0,250.0,93.91
MN,2023,268.0,250.0,91.78
MN,2024,276.0,255.0,92.88
MO,2015,226.0,211.0,92.9
MO,2016,215.0,198.0,92.88
MO,2017,229.0,202.0,86.59
MO,2018,243.0,214.0,88.16
MO,2019,321.0,291.0,89.94
MO,2020,439.0,419.0,94.94
MO,2021,398.0,367.0,87.71
MO,2022,390.0,366.0,92.83
MO,2023,428.0,402.0,93.1
MO,2024,299.0,281.0,95.13
MS,2015,233.0,215.0,90.14
MS,2016,239.0,217.0,90.85
MS,2017,247.0,228.0,92.13
MS,2018,299.0,267.0,91.6
MS,2019,307.0,280.0,91.2
MS,2020,300.0,271.0,90.84
MS,2021,314.0,288.0,92.36
MS,2022,297.0,273.0,94.35
MS,2023,332.0,299.0,89.38
MS,2024,223.0,207.0,86.54
MT,2015,251.0,229.0,92.25
MT,2016,246.0,213.0,85.96
MT,2017,216.0,198.0,92.49
MT,2018,280.0,249.0,89.22
MT,2019,256.0,235.0,92.68
MT,2020,240.0,222.0,93.5
MT,2021,225.0,214.0,94.79
MT,2022,192.0,160.0,85.7
MT,2023,205.0,176.0,85.29
MT,2024,254.0,226.0,89.44
NC,2015,261.0,246.0,94.34
NC,2016,267.0,249.0,93.34
NC,2017,298.0,274.0,92.64
NC,2018,351.0,330.0,93.71
NC,2019,337.0,311.0,93.81
NC,2020,267.0,246.0,91.32
NC,2021,272.0,263.0,97.25
NC,2022,441.0,420.0,96.36
NC,2023,471.0,446.0,95.94
NC,2024,326.0,300.0,93.21
ND,2015,234.0,220.0,94.6
ND,2016,205.0,186.0,89.84
ND,2017,222.0,209.0,95.73
ND,2018,241.0,222.0,93.48
ND,2019,232.0,217.0,95.05
ND,2020,336.0,320.0,94.98
ND,2021,280.0,265.0,94.23
ND,2022,244.0,228.0,92.76
ND,2023,231.0,212.0,89.1
ND,2024,248.0,225.0,91.02
NE,2015,231.0,219.0,95.87
NE,2016,219.0,204.0,93.67
NE,2017,246.0,233.0,94.13
NE,2018,230.0,217.0,92.74
NE,2019,228.0,220.0,96.77
NE,2020,305.0,285.0,94.03
NE,2021,262.0,253.0,96.57
NE,2022,242.0,229.0,95.66
NE,2023,282.0,266.0,94.56
NE,2024,228.0,215.0,95.88
NH,2015,195.0,186.0,95.29
NH,2016,238.0,230.0,96.27
NH,2017,236.0,223.0,94.13
NH,2018,220.0,203.0,93.61
NH,2019,223.0,213.0,92.65
NH,2020,252.0,244.0,96.43
NH,2021,248.0,240.0,97.61
NH,2022,201.0,185.0,92.46
NH,2023,194.0,184.0,96.66
NH,2024,229.0,221.0,96.96
NJ,2015,272.0,262.0,94.81
NJ,2016,268.0,253.0,94.02
NJ,2017,356.0,324.0,90.23
NJ,2018,313.0,293.0,95.28
NJ,2019,264.0,241.0,90.2
NJ,2020,262.0,248.0,93.7
NJ,2021,283.0,266.0,93.23
NJ,2022,277.0,267.0,96.85
NJ,2023,265.0,245.0,91.06
NJ,2024,292.0,272.0,91.06
NM,2015,244.0,222.0,90.0
NM,2016,249.0,229.0,92.38
NM,2017,233.0,215.0,90.2
NM,2018,313.0,292.0,94.37
NM,2019,505.0,477.0,94.06
NM,2020,394.0,377.0,95.5
NM,2021,386.0,369.0,93.81
NM,2022,375.0,349.0,92.34
NM,2023,392.0,361.0,93.0
NM,2024,282.0,255.0,91.27
NV,2015,214.0,201.0,93.93
NV,2016,202.0,182.0,90.54
NV,2017,235.0,217.0,93.44
NV,2018,260.0,228.0,87.35
NV,2019,387.0,358.0,93.61
NV,2020,325.0,306.0,94.36
NV,2021,386.0,360.0,93.74
NV,2022,324.0,295.0,88.38
NV,2023,366.0,332.0,87.36
NV,2024,313.0,292.0,92.9
NY,2015,566.0,532.0,93.97
NY,2016,546.0,517.0,94.54
NY,2017,543.0,497.0,93.28
NY,2018,504.0,470.0,92.67
NY,2019,527.0,485.0,91.56
NY,2020,789.0,758.0,96.52
NY,2021,690.0,661.0,94.42
NY,2022,634.0,587.0,92.43
NY,2023,615.0,581.0,93.79
NY,2024,598.0,566.0,94.06
OH,2015,219.0,199.0,89.19
OH,2016,221.0,197.0,87.51
OH,2017,279.0,250.0,89.95
OH,2018,282.0,263.0,93.83
OH,2019,266.0,236.0,82.72
OH,2020,335.0,310.0,90.97
OH,2021,442.0,422.0,94.85
OH,2022,424.0,398.0,92.89
OH,2023,481.0,448.0,91.98
OH,2024,365.0,345.0,94.63
OK,2015,220.0,209.0,93.9
OK,2016,216.0,193.0,89.75
OK,2017,219.0,197.0,92.0
OK,2018,329.0,302.0,92.71
OK,2019,302.0,270.0,90.32
OK,2020,190.0,169.0,91.11
OK,2021,192.0,175.0,90.6
OK,2022,257.0,234.0,88.62
OK,2023,271.0,248.0,91.84
OK,2024,211.0,190.0,90.3
OR,2015,192.0,181.0,95.89
OR,2016,256.0,227.0,88.46
OR,2017,254.0,231.0,91.36
OR,2018,192.0,178.0,95.03
OR,2019,161.0,146.0,92.65
OR,2020,299.0,285.0,95.16
OR,2021,284.0,269.0,94.34
OR,2022,215.0,199.0,91.96
OR,2023,220.0,198.0,90.56
OR,2024,277.0,266.0,96.7
PA,2015,575.0,536.0,91.82
PA,2016,567.0,537.0,93.52
PA,2017,543.0,506.0,91.77
PA,2018,548.0,520.0,95.32
PA,2019,500.0,467.0,94.74
PA,2020,644.0,617.0,95.77
PA,2021,677.0,644.0,96.48
PA,2022,668.0,619.0,91.19
PA,2023,706.0,651.0,91.1
PA,2024,544.0,506.0,92.26
RI,2015,272.0,261.0,95.31
RI,2016,239.0,227.0,95.42
RI,2017,249.0,238.0,95.63
RI,2018,249.0,241.0,97.52
RI,2019,249.0,235.0,94.92
RI,2020,200.0,194.0,94.84
RI,2021,247.0,244.0,98.31
RI,2022,327.0,319.0,97.83
RI,2023,368.0,354.0,96.08
RI,2024,298.0,288.0,95.91
SC,2015,259.0,239.0,90.53
SC,2016,282.0,262.0,93.53
SC,2017,238.0,214.0,89.12
SC,2018,296.0,270.0,92.13
SC,2019,287.0,262.0,92.78
SC,2020,264.0,246.0,92.11
SC,2021,235.0,221.0,94.35
SC,2022,266.0,243.0,91.47
SC,2023,264.0,244.0,91.67
SC,2024,277.0,261.0,94.65
SD,2015,219.0,205.0,92.41
SD,2016,262.0,245.0,93.63
SD,2017,244.0,220.0,90.1
SD,2018,209.0,191.0,90.45
SD,2019,240.0,222.0,93.74
SD,2020,471.0,453.0,95.01
SD,2021,327.0,303.0,92.59
SD,2022,284.0,262.0,89.85
SD,2023,296.0,272.0,92.38
SD,2024,230.0,211.0,92.88
TN,2015,210.0,194.0,91.28
TN,2016,237.0,209.0,87.58
TN,2017,272.0,257.0,92.93
TN,2018,228.0,205.0,91.67
TN,2019,179.0,168.0,92.77
TN,2020,440.0,409.0,94.35
TN,2021,408.0,387.0,93.4
TN,2022,347.0,337.0,95.11
TN,2023,365.0,343.0,93.81
TN,2024,330.0,304.0,93.73
TX,2015,1500.0,1400.0,93.42
TX,2016,1305.0,1213.0,91.07
TX,2017,1545.0,1438.0,92.16
TX,2018,1747.0,1624.0,92.17
TX,2019,1397.0,1281.0,89.7
TX,2020,988.0,911.0,93.07
TX,2021,1038.0,949.0,90.78
TX,2022,793.0,718.0,91.63
TX,2023,742.0,663.0,93.91
TX,2024,928.0,846.0,90.11
UT,2015,247.0,228.0,89.65
UT,2016,252.0,232.0,88.63
UT,2017,249.0,220.0,89.45
UT,2018,277.0,255.0,92.6
UT,2019,256.0,234.0,91.42
UT,2020,210.0,196.0,94.95
UT,2021,384.0,368.0,95.7
UT,2022,335.0,322.0,96.92
UT,2023,338.0,307.0,91.89
UT,2024,249.0,230.0,92.58
VA,2015,373.0,346.0,85.82
VA,2016,368.0,348.0,91.44
VA,2017,356.0,344.0,97.82
VA,2018,384.0,366.0,93.8
VA,2019,358.0,338.0,93.9
VA,2020,525.0,497.0,93.37
VA,2021,520.0,503.0,95.27
VA,2022,504.0,473.0,93.75
VA,2023,483.0,442.0,88.53
VA,2024,368.0,349.0,94.45
VT,2015,262.0,249.0,95.51
VT,2016,287.0,274.0,95.58
VT,2017,251.0,238.0,94.65
VT,2018,232.0,213.0,92.57
VT,2019,318.0,304.0,95.06
VT,2020,351.0,335.0,95.54
VT,2021,323.0,310.0,95.63
VT,2022,317.0,306.0,94.82
VT,2023,326.0,313.0,96.09
VT,2024,270.0,267.0,99.43
WA,2015,309.0,291.0,95.28
WA,2016,320.0,300.0,93.15
WA,2017,272.0,245.0,89.28
WA,2018,240.0,219.0,93.44
WA,2019,389.0,360.0,93.55
WA,2020,560.0,535.0,95.48
WA,2021,478.0,451.0,94.06
WA,2022,394.0,374.0,92.74
WA,2023,462.0,429.0,92.74
WA,2024,346.0,326.0,95.03
WI,2015,245.0,229.0,93.53
WI,2016,221.0,203.0,91.42
WI,2017,218.0,202.0,90.71
WI,2018,307.0,294.0,96.76
WI,2019,259.0,231.0,88.09
WI,2020,188.0,176.0,91.0
WI,2021,245.0,228.0,90.59
WI,2022,278.0,264.0,95.45
WI,2023,318.0,291.0,89.65
WI,2024,280.0,255.0,91.91
WV,2015,241.0,217.0,87.89
WV,2016,235.0,212.0,89.64
WV,2017,298.0,267.0,89.99
WV,2018,298.0,271.0,89.77
WV,2019,280.0,251.0,91.23
WV,2020,231.0,214.0,91.05
WV,2021,210.0,196.0,93.07
WV,2022,260.0,237.0,90.72
WV,2023,261.0,243.0,92.22
WV,2024,311.0,298.0,96.04
WY,2015,219.0,203.0,94.21
WY,2016,250.0,221.0,89.27
WY,2017,267.0,238.0,90.24
WY,2018,241.0,215.0,89.24
WY,2019,271.0,242.0,91.95
WY,2020,318.0,294.0,92.82
WY,2021,242.0,229.0,93.84
WY,2022,275.0,252.0,89.92
WY,2023,324.0,298.0,93.19
WY,2024,268.0,234.0,85.16
