state,year,population
AL,1995,4296800.0
AL,1996,4331102.0
AL,1997,4367935.0
AL,1998,4404701.0
AL,1999,4430141.0
AL,2000,4452173.0
AL,2001,4467634.0
AL,2002,4480089.0
AL,2003,4503491.0
AL,2004,4530729.0
AL,2005,4569805.0
AL,2006,4628981.0
AL,2007,4672840.0
AL,2008,4718206.0
AL,2009,4757938.0
AL,2010,4785514.0
AL,2011,4799642.0
AL,2012,4816632.0
AL,2013,4831586.0
AL,2014,4843737.0
AL,2015,4854803.0
AL,2016,4866824.0
AL,2017,4877989.0
AK,1995,604412.0
AK,1996,608569.0
AK,1997,612968.0
AK,1998,619932.0
AK,1999,624779.0
AK,2000,627963.0
AK,2001,633714.0
AK,2002,642337.0
AK,2003,648414.0
AK,2004,659286.0
AK,2005,666946.0
AK,2006,675302.0
AK,2007,680300.0
AK,2008,687455.0
AK,2009,698895.0
AK,2010,713982.0
AK,2011,722349.0
AK,2012,730810.0
AK,2013,737626.0
AK,2014,737075.0
AK,2015,738430.0
AK,2016,742575.0
AK,2017,740983.0
AZ,1995,4432499.0
AZ,1996,4586940.0
AZ,1997,4736990.0
AZ,1998,4883342.0
AZ,1999,5023823.0
AZ,2000,5160586.0
AZ,2001,5273477.0
AZ,2002,5396255.0
AZ,2003,5510364.0
AZ,2004,5652404.0
AZ,2005,5839077.0
AZ,2006,6029141.0
AZ,2007,6167681.0
AZ,2008,6280362.0
AZ,2009,6343154.0
AZ,2010,6407342.0
AZ,2011,6473416.0
AZ,2012,6556344.0
AZ,2013,6634690.0
AZ,2014,6732873.0
AZ,2015,6832810.0
AZ,2016,6944767.0
AZ,2017,7048088.0
AR,1995,2535399.0
AR,1996,2572109.0
AR,1997,2601090.0
AR,1998,2626289.0
AR,1999,2651860.0
AR,2000,2678588.0
AR,2001,2691571.0
AR,2002,2705927.0
AR,2003,2724816.0
AR,2004,2749686.0
AR,2005,2781097.0
AR,2006,2821761.0
AR,2007,2848650.0
AR,2008,2874554.0
AR,2009,2896843.0
AR,2010,2921998.0
AR,2011,2941038.0
AR,2012,2952876.0
AR,2013,2960459.0
AR,2014,2968759.0
AR,2015,2979732.0
AR,2016,2991815.0
AR,2017,3003855.0
CA,1995,31696582.0
CA,1996,32018834.0
CA,1997,32486010.0
CA,1998,32987675.0
CA,1999,33499204.0
CA,2000,33987977.0
CA,2001,34479458.0
CA,2002,34871843.0
CA,2003,35253159.0
CA,2004,35574576.0
CA,2005,35827943.0
CA,2006,36021202.0
CA,2007,36250311.0
CA,2008,36604337.0
CA,2009,36961229.0
CA,2010,37319550.0
CA,2011,37636311.0
CA,2012,37944551.0
CA,2013,38253768.0
CA,2014,38586706.0
CA,2015,38904296.0
CA,2016,39149186.0
CA,2017,39337785.0
CO,1995,3826653.0
CO,1996,3919972.0
CO,1997,4018293.0
CO,1998,4116639.0
CO,1999,4226018.0
CO,2000,4326921.0
CO,2001,4425687.0
CO,2002,4490406.0
CO,2003,4528732.0
CO,2004,4575013.0
CO,2005,4631888.0
CO,2006,4720423.0
CO,2007,4803868.0
CO,2008,4889730.0
CO,2009,4972195.0
CO,2010,5047539.0
CO,2011,5121900.0
CO,2012,5193660.0
CO,2013,5270774.0
CO,2014,5352637.0
CO,2015,5454328.0
CO,2016,5543844.0
CO,2017,5617421.0
CT,1995,3324144.0
CT,1996,3336685.0
CT,1997,3349348.0
CT,1998,3365352.0
CT,1999,3386401.0
CT,2000,3411777.0
CT,2001,3432835.0
CT,2002,3458749.0
CT,2003,3484336.0
CT,2004,3496094.0
CT,2005,3506956.0
CT,2006,3517460.0
CT,2007,3527270.0
CT,2008,3545579.0
CT,2009,3561807.0
CT,2010,3579173.0
CT,2011,3588632.0
CT,2012,3595211.0
CT,2013,3595792.0
CT,2014,3595697.0
CT,2015,3588561.0
CT,2016,3579830.0
CT,2017,3575324.0
DE,1995,729734.0
DE,1996,740977.0
DE,1997,751487.0
DE,1998,763335.0
DE,1999,774990.0
DE,2000,786373.0
DE,2001,795699.0
DE,2002,806169.0
DE,2003,818003.0
DE,2004,830803.0
DE,2005,845150.0
DE,2006,859268.0
DE,2007,871749.0
DE,2008,883874.0
DE,2009,891730.0
DE,2010,899647.0
DE,2011,907590.0
DE,2012,915518.0
DE,2013,924062.0
DE,2014,933131.0
DE,2015,942065.0
DE,2016,949989.0
DE,2017,957942.0
,1995,580517.0
,1996,572377.0
,1997,567736.0
,1998,565230.0
,1999,570213.0
,2000,572046.0
,2001,574504.0
,2002,573158.0
,2003,568502.0
,2004,567754.0
,2005,567136.0
,2006,570681.0
,2007,574404.0
,2008,580236.0
,2009,592228.0
,2010,605282.0
,2011,620290.0
,2012,635737.0
,2013,651559.0
,2014,663603.0
,2015,677014.0
,2016,687576.0
,2017,697079.0
FL,1995,14537875.0
FL,1996,14853360.0
FL,1997,15186304.0
FL,1998,15486559.0
FL,1999,15759421.0
FL,2000,16047515.0
FL,2001,16356966.0
FL,2002,16689370.0
FL,2003,17004085.0
FL,2004,17415318.0
FL,2005,17842038.0
FL,2006,18166990.0
FL,2007,18367842.0
FL,2008,18527305.0
FL,2009,18652644.0
FL,2010,18846143.0
FL,2011,19055607.0
FL,2012,19302016.0
FL,2013,19551678.0
FL,2014,19853880.0
FL,2015,20219111.0
FL,2016,20627237.0
FL,2017,20977089.0
GA,1995,7328413.0
GA,1996,7501069.0
GA,1997,7685099.0
GA,1998,7863536.0
GA,1999,8045965.0
GA,2000,8227303.0
GA,2001,8377038.0
GA,2002,8508256.0
GA,2003,8622793.0
GA,2004,8769252.0
GA,2005,8925922.0
GA,2006,9155813.0
GA,2007,9349988.0
GA,2008,9504843.0
GA,2009,9620846.0
GA,2010,9712209.0
GA,2011,9803630.0
GA,2012,9903580.0
GA,2013,9975592.0
GA,2014,10071204.0
GA,2015,10183353.0
GA,2016,10308442.0
GA,2017,10417031.0
HI,1995,1196854.0
HI,1996,1203755.0
HI,1997,1211640.0
HI,1998,1215233.0
HI,1999,1210300.0
HI,2000,1213519.0
HI,2001,1225948.0
HI,2002,1239613.0
HI,2003,1251154.0
HI,2004,1273569.0
HI,2005,1292729.0
HI,2006,1309731.0
HI,2007,1315675.0
HI,2008,1332213.0
HI,2009,1346717.0
HI,2010,1364004.0
HI,2011,1379562.0
HI,2012,1395199.0
HI,2013,1408822.0
HI,2014,1415335.0
HI,2015,1422999.0
HI,2016,1428885.0
HI,2017,1425763.0
ID,1995,1177322.0
ID,1996,1203083.0
ID,1997,1228520.0
ID,1998,1252330.0
ID,1999,1275674.0
ID,2000,1299430.0
ID,2001,1319962.0
ID,2002,1340372.0
ID,2003,1363380.0
ID,2004,1391802.0
ID,2005,1428241.0
ID,2006,1468669.0
ID,2007,1505105.0
ID,2008,1534320.0
ID,2009,1554439.0
ID,2010,1570819.0
ID,2011,1584272.0
ID,2012,1595910.0
ID,2013,1612053.0
ID,2014,1632248.0
ID,2015,1652495.0
ID,2016,1684036.0
ID,2017,1719745.0
IL,1995,12008437.0
IL,1996,12101997.0
IL,1997,12185715.0
IL,1998,12271847.0
IL,1999,12359020.0
IL,2000,12434161.0
IL,2001,12488445.0
IL,2002,12525556.0
IL,2003,12556006.0
IL,2004,12589773.0
IL,2005,12609903.0
IL,2006,12643955.0
IL,2007,12695866.0
IL,2008,12747038.0
IL,2009,12796778.0
IL,2010,12840545.0
IL,2011,12867783.0
