year,state,measles_cases,mumps_cases,pertussis_cases
1995,AK,,13.0,1.0
1995,AL,,4.0,38.0
1995,AR,2.0,10.0,41.0
1995,AZ,12.0,7.0,305.0
1995,CA,108.0,206.0,463.0
1995,CO,26.0,2.0,113.0
1995,CT,2.0,3.0,32.0
1995,DC,,,6.0
1995,DE,,,10.0
1995,FL,9.0,17.0,68.0
1995,GA,4.0,10.0,30.0
1995,HI,1.0,14.0,60.0
1995,IA,1.0,11.0,12.0
1995,ID,2.0,4.0,101.0
1995,IL,6.0,48.0,138.0
1995,IN,,10.0,77.0
1995,KS,1.0,1.0,23.0
1995,KY,,,24.0
1995,LA,18.0,14.0,18.0
1995,MA,5.0,2.0,416.0
1995,MD,1.0,20.0,40.0
1995,ME,,4.0,50.0
1995,MI,7.0,61.0,110.0
1995,MN,,8.0,155.0
1995,MO,2.0,24.0,54.0
1995,MS,,15.0,3.0
1995,MT,,1.0,9.0
1995,NC,,42.0,110.0
1995,ND,,1.0,8.0
1995,NE,,5.0,15.0
1995,NH,,1.0,57.0
1995,NJ,6.0,17.0,16.0
1995,NM,31.0,,147.0
1995,NV,1.0,11.0,111.0
1995,OH,2.0,54.0,181.0
1995,OK,,,31.0
1995,OR,3.0,,62.0
1995,PA,1.0,61.0,125.0
1995,RI,5.0,1.0,4.0
1995,SC,,13.0,28.0
1995,SD,,,12.0
1995,TN,,5.0,209.0
1995,TX,14.0,30.0,191.0
1995,UT,1.0,11.0,31.0
1995,VA,,25.0,31.0
1995,VT,,,74.0
1995,WA,21.0,15.0,364.0
1995,WI,2.0,,12.0
1995,WY,,,1.0
1996,AK,63.0,3.0,4.0
1996,AL,,6.0,28.0
1996,AR,,2.0,13.0
1996,AZ,8.0,1.0,29.0
1996,CA,46.0,178.0,724.0
1996,CO,7.0,3.0,157.0
1996,CT,1.0,,36.0
1996,DC,1.0,1.0,5.0
1996,DE,1.0,,27.0
1996,FL,1.0,32.0,102.0
1996,GA,2.0,3.0,20.0
1996,HI,35.0,30.0,29.0
1996,IA,1.0,3.0,30.0
1996,ID,2.0,,115.0
1996,IL,3.0,20.0,166.0
1996,IN,,9.0,107.0
1996,KS,1.0,2.0,16.0
1996,KY,,,140.0
1996,LA,,18.0,11.0
1996,MA,12.0,2.0,1066.0
1996,MD,4.0,32.0,263.0
1996,ME,1.0,,24.0
1996,MI,3.0,26.0,54.0
1996,MN,18.0,6.0,356.0
1996,MO,4.0,7.0,58.0
1996,MS,,15.0,9.0
1996,MT,,,36.0
1996,NC,4.0,21.0,131.0
1996,ND,,2.0,1.0
1996,NE,,,15.0
1996,NH,,1.0,180.0
1996,NJ,3.0,3.0,19.0
1996,NM,17.0,,63.0
1996,NV,5.0,17.0,41.0
1996,OH,6.0,52.0,290.0
1996,OK,,1.0,19.0
1996,OR,11.0,,35.0
1996,PA,13.0,43.0,230.0
1996,RI,,1.0,40.0
1996,SC,,7.0,49.0
1996,SD,,,4.0
1996,TN,2.0,3.0,21.0
1996,TX,28.0,26.0,87.0
1996,UT,119.0,2.0,24.0
1996,VA,3.0,16.0,99.0
1996,VT,2.0,,241.0
1996,WA,51.0,21.0,722.0
1996,WI,2.0,1.0,5.0
1996,WV,,,7.0
1996,WY,1.0,1.0,8.0
1997,AK,48.0,4.0,14.0
1997,AL,,9.0,33.0
1997,AR,,1.0,60.0
1997,AZ,5.0,33.0,41.0
1997,CA,23.0,147.0,403.0
1997,CO,,3.0,342.0
1997,CT,1.0,1.0,35.0
1997,DC,1.0,,3.0
1997,DE,1.0,,1.0
1997,FL,7.0,23.0,85.0
1997,GA,1.0,10.0,13.0
1997,HI,4.0,23.0,14.0
1997,IA,1.0,10.0,108.0
1997,ID,,5.0,621.0
1997,IL,7.0,13.0,124.0
1997,IN,,14.0,85.0
1997,KS,,,13.0
1997,KY,,3.0,61.0
1997,LA,,16.0,20.0
1997,MA,16.0,4.0,522.0
1997,MD,2.0,10.0,124.0
1997,ME,1.0,,11.0
1997,MI,2.0,15.0,61.0
1997,MN,8.0,6.0,369.0
1997,MO,4.0,,68.0
1997,MS,,9.0,9.0
1997,MT,,,19.0
1997,NC,2.0,12.0,118.0
1997,ND,,,2.0
1997,NE,,2.0,14.0
1997,NH,1.0,1.0,133.0
1997,NJ,3.0,7.0,11.0
1997,NM,1.0,,193.0
1997,NV,4.0,7.0,39.0
1997,OH,2.0,35.0,164.0
1997,OK,1.0,,48.0
1997,OR,,1.0,19.0
1997,PA,8.0,35.0,159.0
1997,RI,,6.0,17.0
1997,SC,1.0,11.0,30.0
1997,SD,8.0,,5.0
1997,TN,,6.0,39.0
1997,TX,7.0,58.0,167.0
1997,UT,1.0,8.0,26.0
1997,VA,1.0,19.0,56.0
1997,VT,1.0,,256.0
1997,WA,4.0,21.0,406.0
1997,WI,1.0,3.0,83.0
1997,WV,,1.0,6.0
1997,WY,,1.0,7.0
1998,AK,29.0,2.0,15.0
1998,AL,2.0,9.0,32.0
1998,AR,,12.0,93.0
1998,AZ,10.0,6.0,224.0
1998,CA,8.0,106.0,941.0
1998,CO,,8.0,245.0
1998,CT,,3.0,46.0
1998,DC,,2.0,1.0
1998,DE,1.0,2.0,5.0
1998,FL,2.0,22.0,63.0
1998,GA,2.0,3.0,28.0
1998,HI,,23.0,20.0
1998,IA,1.0,11.0,77.0
1998,ID,1.0,7.0,257.0
1998,IL,1.0,11.0,129.0
1998,IN,3.0,6.0,151.0
1998,KS,,1.0,66.0
1998,KY,,1.0,50.0
1998,LA,1.0,10.0,9.0
1998,MA,2.0,4.0,675.0
