week,state,cases,year
1,NY,376.0,1931
1,OR,67.0,1931
1,CO,41.0,1931
1,AZ,50.0,1931
1,MO,1160.0,1931
1,WI,213.0,1931
1,DC,11.0,1931
1,IN,275.0,1931
1,MA,630.0,1931
1,IA,4.0,1931
1,KY,74.0,1931
1,AL,357.0,1931
1,MI,150.0,1931
1,CA,272.0,1931
1,LA,5.0,1931
1,OH,158.0,1931
1,MN,15.0,1931
1,KS,12.0,1931
1,OK,39.0,1931
1,NE,18.0,1931
1,WA,39.0,1931
1,SD,5.0,1931
1,NJ,326.0,1931
1,FL,35.0,1931
1,TX,60.0,1931
1,GA,76.0,1931
1,ID,12.0,1931
1,AR,6.0,1931
1,TN,180.0,1931
1,PA,962.0,1931
1,WV,25.0,1931
1,DE,5.0,1931
1,MT,3.0,1931
1,IL,553.0,1931
1,NH,21.0,1931
1,RI,1.0,1931
1,VT,14.0,1931
1,CT,271.0,1931
1,ME,7.0,1931
1,NC,90.0,1931
1,SC,17.0,1931
1,MD,138.0,1931
1,NM,100.0,1931
2,DE,3.0,1931
2,ID,29.0,1931
2,NE,16.0,1931
2,WY,1.0,1931
2,LA,2.0,1931
2,WI,229.0,1931
2,TN,96.0,1931
2,NM,35.0,1931
2,AL,370.0,1931
2,ME,21.0,1931
2,CA,363.0,1931
2,TX,9.0,1931
2,MN,16.0,1931
2,OH,126.0,1931
2,MO,1012.0,1931
2,IL,555.0,1931
2,IN,197.0,1931
2,IA,5.0,1931
2,WA,76.0,1931
2,WV,47.0,1931
2,DC,17.0,1931
2,OK,8.0,1931
2,AZ,50.0,1931
2,PA,966.0,1931
2,MI,82.0,1931
2,SD,3.0,1931
2,NH,45.0,1931
2,MT,3.0,1931
2,AR,1.0,1931
2,MA,409.0,1931
2,UT,3.0,1931
2,NY,279.0,1931
2,CO,49.0,1931
2,CT,192.0,1931
2,FL,65.0,1931
2,VT,25.0,1931
2,KS,19.0,1931
2,OR,57.0,1931
2,MD,160.0,1931
2,NJ,313.0,1931
3,IN,251.0,1931
3,WY,2.0,1931
3,NE,30.0,1931
3,NJ,388.0,1931
3,UT,2.0,1931
3,NH,25.0,1931
3,DC,25.0,1931
3,NM,21.0,1931
3,OK,74.0,1931
3,DE,3.0,1931
3,WI,172.0,1931
3,AZ,125.0,1931
3,CT,286.0,1931
3,NY,329.0,1931
3,MN,28.0,1931
3,AL,458.0,1931
3,CO,29.0,1931
3,MT,2.0,1931
3,OR,115.0,1931
3,TX,141.0,1931
3,OH,140.0,1931
3,IA,3.0,1931
3,KY,76.0,1931
3,MD,229.0,1931
3,SD,12.0,1931
3,MI,143.0,1931
3,WA,62.0,1931
3,TN,110.0,1931
3,MO,1109.0,1931
3,GA,108.0,1931
3,NC,163.0,1931
3,IL,905.0,1931
3,FL,63.0,1931
3,WV,30.0,1931
3,CA,546.0,1931
3,VT,8.0,1931
3,MA,643.0,1931
3,KS,53.0,1931
3,LA,2.0,1931
3,PA,1022.0,1931
3,AR,9.0,1931
3,SC,27.0,1931
3,ND,3.0,1931
3,ME,20.0,1931
4,OR,78.0,1931
4,DE,8.0,1931
4,MN,56.0,1931
4,LA,2.0,1931
4,IA,3.0,1931
4,UT,3.0,1931
4,AZ,72.0,1931
4,SD,8.0,1931
4,VT,12.0,1931
4,IN,314.0,1931
4,FL,65.0,1931
4,ND,25.0,1931
4,TX,148.0,1931
4,NE,12.0,1931
4,PA,1441.0,1931
4,WV,36.0,1931
4,WA,67.0,1931
4,NY,418.0,1931
4,RI,1.0,1931
4,NM,38.0,1931
4,OH,250.0,1931
4,MD,301.0,1931
4,CO,107.0,1931
4,NC,150.0,1931
4,CT,242.0,1931
4,AL,529.0,1931
4,ID,1.0,1931
4,KS,46.0,1931
4,MT,4.0,1931
4,GA,52.0,1931
4,OK,25.0,1931
4,IL,886.0,1931
4,AR,1.0,1931
4,CA,509.0,1931
4,NH,141.0,1931
4,WI,335.0,1931
4,MA,588.0,1931
4,ME,48.0,1931
4,NJ,525.0,1931
4,SC,24.0,1931
4,MI,185.0,1931
4,MO,830.0,1931
4,DC,27.0,1931
4,TN,64.0,1931
4,KY,170.0,1931
5,ND,1.0,1931
5,UT,2.0,1931
5,NY,592.0,1931
5,NH,132.0,1931
5,MN,39.0,1931
5,NE,6.0,1931
5,KS,16.0,1931
5,MO,899.0,1931
5,WA,67.0,1931
5,NC,183.0,1931
5,NJ,663.0,1931
5,AZ,203.0,1931
5,SD,8.0,1931
5,ME,10.0,1931
5,MD,322.0,1931
5,PA,1544.0,1931
5,TX,100.0,1931
5,NM,51.0,1931
5,WV,33.0,1931
5,IN,459.0,1931
5,DE,7.0,1931
5,OK,42.0,1931
5,WI,295.0,1931
5,AR,6.0,1931
5,OH,217.0,1931
5,MT,5.0,1931
5,CO,112.0,1931
5,CT,257.0,1931
5,WY,2.0,1931
5,GA,145.0,1931
5,KY,97.0,1931
5,IA,11.0,1931
5,DC,47.0,1931
5,CA,676.0,1931
5,IL,980.0,1931
5,SC,118.0,1931
5,OR,98.0,1931
5,ID,1.0,1931
5,TN,212.0,1931
5,MI,191.0,1931
5,FL,167.0,1931
5,AL,519.0,1931
5,MA,633.0,1931
5,LA,3.0,1931
6,CA,809.0,1931
6,PA,1880.0,1931
6,NH,73.0,1931
6,OH,348.0,1931
6,DC,48.0,1931
6,MO,969.0,1931
6,IL,970.0,1931
6,KY,189.0,1931
6,NC,278.0,1931
6,FL,145.0,1931
6,ND,12.0,1931
6,WY,2.0,1931
6,MA,505.0,1931
6,DE,7.0,1931
6,WA,50.0,1931
6,NY,760.0,1931
6,CO,205.0,1931
6,AZ,173.0,1931
6,MT,1.0,1931
6,TN,174.0,1931
6,WI,363.0,1931
6,AL,411.0,1931
6,ID,6.0,1931
6,RI,1.0,1931
6,MD,433.0,1931
6,AR,3.0,1931
6,SD,15.0,1931
6,TX,91.0,1931
6,GA,132.0,1931
6,SC,140.0,1931
6,NJ,633.0,1931
6,KS,18.0,1931
6,MN,54.0,1931
6,WV,91.0,1931
6,IA,11.0,1931
6,CT,269.0,1931
6,NM,22.0,1931
6,VT,23.0,1931
6,NE,4.0,1931
6,OR,63.0,1931
6,OK,26.0,1931
6,MI,179.0,1931
6,ME,13.0,1931
6,LA,3.0,1931
6,IN,684.0,1931
7,NH,42.0,1931
7,PA,2254.0,1931
7,NE,1.0,1931
7,WI,260.0,1931
7,KY,150.0,1931
7,TX,161.0,1931
7,AL,497.0,1931
7,WA,50.0,1931
7,OK,32.0,1931
7,AZ,222.0,1931
7,DE,27.0,1931
7,NY,983.0,1931
7,AR,15.0,1931
7,DC,84.0,1931
7,MN,40.0,1931
7,GA,88.0,1931
7,WY,3.0,1931
7,NJ,815.0,1931
7,MO,873.0,1931
7,OH,184.0,1931
7,IN,699.0,1931
7,NC,466.0,1931
